X,Y,Nom de l'�,Adresse,Code posta,Commune,D�partem,Type de st,Y,X,icon_url
5.387019,43.273299,> Clinique Juge,116 rue Jean Mermoz,"13008",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.273299000000002,5.387019000000000,./0.png
5.382754,43.27188,> Clinique Monticelli-Vélodrome,88 rue du Commandant Rolland,"13008",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.271880000000003,5.382754000000000,./0.png
5.090157,43.638236,> Clinique Vignoli,114 avenue Paul Bourret,"13300",SALON-DE-PROVENCE,(13) Bouches-du-Rhône,Etablissement privé,43.638235999999999,5.090157000000000,./0.png
5.102344,43.638278,> Hôpital du Pays Salonais,207 avenue Julien Fabre,"13657",SALON-DE-PROVENCE CEDEX,(13) Bouches-du-Rhône,Centre Hospitalier,43.638278000000000,5.102344000000000,./0.png
5.372241,43.309479,> Hôpital Européen,6 rue Désirée Clary,"13003",MARSEILLE,(13) Bouches-du-Rhône,ESPIC hors CLCC,43.309479000000003,5.372241000000000,./0.png
5.426935,43.248792,> Hôpital Privé Clairval,317 boulevard du Redon,"13009",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.248792000000002,5.426935000000000,./0.png
5.458451,43.530689,> Hôpital Privé de Provence,Pont de l'Arc - 235 Allée Nicolas de Staël,"13100",AIX-EN-PROVENCE,(13) Bouches-du-Rhône,Etablissement privé,43.530689000000002,5.458451000000000,./0.png
5.53136,43.276037,> Hôpital Privé La Casamance,33 boulevard des Farigoules,"13400",AUBAGNE,(13) Bouches-du-Rhône,Etablissement privé,43.276037000000002,5.531360000000000,./0.png
5.409616,43.313334,> Hôpital Privé Marseille Beauregard,12 impasse du Lido,"13012",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.313333999999998,5.409616000000000,./0.png
5.429952,43.303636,> Hôpital Privé Marseille Vert Coteau,96 avenue des Caillols,"13012",MARSEILLE,(13) Bouches-du-Rhône,Etablissement privé,43.303635999999997,5.429952000000000,./0.png
5.393273,43.275174,> Hôpital Saint-Joseph,26 boulevard de Louvain,"13285",MARSEILLE CEDEX 08,(13) Bouches-du-Rhône,ESPIC hors CLCC,43.275174000000000,5.393273000000000,./0.png
5.411417,43.262783,> Institut Paoli-Calmettes (IPC),232 boulevard Sainte-Marguerite,"13273",MARSEILLE CEDEX 09,(13) Bouches-du-Rhône,Centre de lutte contre le cancer,43.262782999999999,5.411417000000000,./0.png
5.425605,43.573724,> Maternité Catholique de Provence - L'Etoile,Route de Puyricard - Quartier de la Glacière,"13540",PUYRICARD,(13) Bouches-du-Rhône,ESPIC hors CLCC,43.573723999999999,5.425605000000000,./0.png
5.415133,43.326639,Hôpital d'instruction des armées Laveran,34 boulevard Lavéran,"13013",MARSEILLE,(13) Bouches-du-Rhône,Hôpital d'Instruction des Armées,43.326639000000000,5.415133000000000,./0.png
